model,clean_metric,mean_noise_metric,std_noise_metric,robust_score,avg_drop_vs_clean
svm_rbf_baseline,0.9945250963143201,0.9938110413124743,0.0009321952367373417,0.9933449436941056,-0.000714055001845737
svm_rbf_robust,0.9951212659245741,0.9939426313479499,0.0012379290915698383,0.993323666802165,-0.001178634576624149
logreg_robust,0.9957092685310831,0.993057803106321,0.004295220487921697,0.9909101928623602,-0.002651465424762134
rf_robust,0.9907551250656393,0.990081970071939,0.001976343843206453,0.9890937981503357,-0.0006731549937003534
rf_baseline,0.9896087441964448,0.9895481875967259,0.0028921036176662316,0.9881021357878927,-6.055659971893057e-05
logreg_baseline,0.99537983716251,0.9909576591764193,0.006599360054547919,0.9876579791491453,-0.004422177986090681
