model,label_noise_p,roc_auc_clean,roc_auc_mean,roc_auc_drop
logreg_baseline,0.0,0.9955016835016834,0.9955016835016834,0.0
logreg_baseline,0.02,0.9955016835016834,0.9947926200783344,-0.0007090634233490878
logreg_baseline,0.05,0.9955016835016834,0.9942310863739435,-0.0012705971277399142
logreg_baseline,0.1,0.9955016835016834,0.991274926132069,-0.00422675736961442
logreg_baseline,0.15,0.9955016835016834,0.9844485673057102,-0.011053116195973267
logreg_robust,0.0,0.9955016835016834,0.9955016835016834,0.0
logreg_robust,0.02,0.9955016835016834,0.9952635195492339,-0.0002381639524495771
logreg_robust,0.05,0.9955016835016834,0.9953191094619666,-0.00018257403971688735
logreg_robust,0.1,0.9955016835016834,0.9932553425410567,-0.0022463409606267026
logreg_robust,0.15,0.9955016835016834,0.9892946471517899,-0.006207036349893502
rf_baseline,0.0,0.9907682608396894,0.9907682608396894,0.0
rf_baseline,0.02,0.9907682608396894,0.9903013468013468,-0.0004669140383425363
rf_baseline,0.05,0.9907682608396894,0.9900047756476327,-0.0007634851920567121
rf_baseline,0.1,0.9907682608396894,0.9891739503882362,-0.0015943104514531958
rf_baseline,0.15,0.9907682608396894,0.9862774685631828,-0.004490792276506617
rf_robust,0.0,0.9904511784511785,0.9904511784511785,0.0
rf_robust,0.02,0.9904511784511785,0.9897425273139558,-0.0007086511372226267
rf_robust,0.05,0.9904511784511785,0.9900050161478733,-0.00044616230330518647
rf_robust,0.1,0.9904511784511785,0.9905803614375043,0.00012918298632580427
rf_robust,0.15,0.9904511784511785,0.9890781969353398,-0.001372981515838645
svm_rbf_baseline,0.0,0.9959808974094689,0.9959808974094689,0.0
svm_rbf_baseline,0.02,0.9959808974094689,0.9955572734144162,-0.000423623995052691
svm_rbf_baseline,0.05,0.9959808974094689,0.9956398680684394,-0.00034102934102953064
svm_rbf_baseline,0.1,0.9959808974094689,0.99508177008177,-0.0008991273276989231
svm_rbf_baseline,0.15,0.9959808974094689,0.9940701573558717,-0.0019107400535972596
svm_rbf_robust,0.0,0.9957184085755515,0.9957184085755515,0.0
svm_rbf_robust,0.02,0.9957184085755515,0.995349481206624,-0.00036892736892746303
svm_rbf_robust,0.05,0.9957184085755515,0.9955886758743901,-0.00012973270116134472
svm_rbf_robust,0.1,0.9957184085755515,0.9950035731464303,-0.0007148354291212078
svm_rbf_robust,0.15,0.9957184085755515,0.9939390503676218,-0.0017793582079297376
