model,accuracy_mean,accuracy_std,precision_m_mean,precision_m_std,recall_m_mean,recall_m_std,specificity_b_mean,specificity_b_std,f1_m_mean,f1_m_std,roc_auc_mean,roc_auc_std
logreg_baseline,0.9771774569166279,0.013282845364893986,0.9862579281183933,0.020388267993642604,0.953045404208195,0.04665543606892094,0.9916275430359937,0.012444758925188247,0.9685349494446346,0.01909656089096241,0.9960349305133125,0.006147716335155112
logreg_robust,0.9754230709517155,0.009577288676050575,0.9735177865612649,0.039118455466613127,0.9623477297895903,0.031578457082190196,0.9832550860719875,0.02488951785037648,0.966966577560678,0.012474703977184679,0.9964972652452181,0.005300013467921174
rf_baseline,0.956078248719143,0.010680707992909232,0.9534975258659468,0.029615289467398862,0.9293466223698783,0.0494735960636406,0.9720266040688577,0.019677863914232603,0.9400291108449224,0.01616190483171917,0.9908242521450841,0.006471730071820024
rf_robust,0.9543238627542306,0.015640160650823333,0.934055959176613,0.050982621854734685,0.948062015503876,0.038524440331169856,0.9580594679186228,0.03541137064255987,0.9395354239256678,0.019090777930215876,0.9912879516548039,0.005771154728419773
svm_rbf_baseline,0.9736531594472908,0.0138452431632549,0.972121212121212,0.024108293708348733,0.9575858250276855,0.041916969838566985,0.9832550860719875,0.01519702528986225,0.9641222585886016,0.019290610161623166,0.9951811211801385,0.0063529781043994114
svm_rbf_robust,0.9701288619779538,0.013288333666260168,0.9730632411067193,0.03561958976537362,0.948062015503876,0.048316380647605316,0.9832550860719875,0.022810116823737774,0.9591546401558866,0.018420316815531704,0.9953773675645605,0.005364826731523169
