model,clean_metric,mean_noise_metric,std_noise_metric,robust_score,avg_drop_vs_clean
svm_rbf_robust,0.9953773675645605,0.9950605482052521,0.0007979502608843878,0.99466157307481,-0.00031681935930838456
svm_rbf_baseline,0.9951811211801385,0.994874251971779,0.0006656524272107667,0.9945414257581736,-0.0003068692083594282
logreg_robust,0.9964972652452181,0.994808783255086,0.001824260489302082,0.993896653010435,-0.0016884819901320514
logreg_baseline,0.9960349305133125,0.9933273331851575,0.0037449265332729375,0.991454869918521,-0.0027075973281549537
rf_robust,0.9912879516548039,0.990284282135535,0.0020006615813535967,0.9892839513448581,-0.0010036695192688905
rf_baseline,0.9908242521450841,0.9891264563587381,0.003925126349720116,0.987163893183878,-0.0016977957863459903
