model,robust_score_without,avg_drop_vs_clean_without,robust_score_with,avg_drop_vs_clean_with,robust_score_gain,drop_reduction
logreg_baseline,0.9876579791491453,-0.004422177986090681,0.991454869918521,-0.0027075973281549537,0.003796890769375727,0.001714580657935727
logreg_robust,0.9909101928623602,-0.002651465424762134,0.993896653010435,-0.0016884819901320514,0.0029864601480747988,0.0009629834346300825
svm_rbf_robust,0.993323666802165,-0.001178634576624149,0.99466157307481,-0.00031681935930838456,0.001337906272644962,0.0008618152173157645
svm_rbf_baseline,0.9933449436941056,-0.000714055001845737,0.9945414257581736,-0.0003068692083594282,0.0011964820640679719,0.0004071857934863088
rf_robust,0.9890937981503357,-0.0006731549937003534,0.9892839513448581,-0.0010036695192688905,0.0001901531945224244,-0.0003305145255685371
rf_baseline,0.9881021357878927,-6.055659971893057e-05,0.987163893183878,-0.0016977957863459903,-0.0009382426040147607,-0.0016372391866270597
