metric,without_noise_robustness,with_noise_robustness,gain_with_minus_without
clean_roc_auc_mean,0.9935165561990953,0.9942004813838529,0.0006839251847575722
noise_roc_auc_mean,0.9918998821019716,0.992913609185258,0.0010137270832863976
robust_score_mean,0.9904054527410008,0.9918337277151127,0.0014282749741119094
